# Loan dataset based on the Kaggle Home Equity dataset,,,,,,,,,,
# Available at: https://www.kaggle.com/ajay1735/hmeq-data,,,,,,,,,,
#,,,,,,,,,,
# Context,,,,,,,,,,
# =======,,,,,,,,,,
# The consumer credit department of a bank wants to automate the decisionmaking,,,,,,,,,,
# process for approval of home equity lines of credit. To do this,they will,,,,,,,,,
# follow the recommendations of the Equal Credit Opportunity Act to create an,,,,,,,,,,
# empirically derived and statistically sound credit scoring model. The model,,,,,,,,,,
# will be based on data collected from recent applicants granted credit through,,,,,,,,,,
# the current process of loan underwriting. The model will be built from,,,,,,,,,,
# predictive modeling tools,but the created model must be sufficiently,,,,,,,,,
# interpretable to provide a reason for any adverse actions (rejections).,,,,,,,,,,
#,,,,,,,,,,
# Content,,,,,,,,,,
# =======,,,,,,,,,,
# The Home Equity dataset (HMEQ) contains baseline and loan performance,,,,,,,,,,
# information for 5,960 recent home equity loans. The target (BAD) is a binary,,,,,,,,,
# variable indicating whether an applicant eventually defaulted or was,,,,,,,,,,
# seriously delinquent. This adverse outcome occurred in 1,189 cases (20%). For,,,,,,,,,
# each applicant,12 input variables were recorded.,,,,,,,,,
#,,,,,,,,,,
# Attributes,,,,,,,,,,
# ==========,,,,,,,,,,
# Name    Description,,,,,,,,,,
# TARGET  Label: 1 = client defaulted on loan - 0 = loan repaid,,,,,,,,,,
# LOAN    Amount of the loan request,,,,,,,,,,
# MORTDUE Amount due on existing mortgage,,,,,,,,,,
# VALUE   Value of current property,,,,,,,,,,
# YOJ     Years at present job,,,,,,,,,,
# DEROG   Number of major derogatory reports,,,,,,,,,,
# DELINQ  Number of delinquent credit lines,,,,,,,,,,
# CLAGE   Age of oldest trade line in months,,,,,,,,,,
# NINQ    Number of recent credit lines,,,,,,,,,,
# CLNO    Number of credit lines,,,,,,,,,,
# DEBTINC Debt-to-income ratio,,,,,,,,,,
#,,,,,,,,,,
TARGET,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,4700,88026.0,115506.0,6.0,0.0,0.0,18.224.833.156,0.0,27.0,2.920.902.258
0,19300,39926.0,101208.0,4.0,0.0,0.0,14.005.163.825,0.0,14.0,31.545.694.154
0,5700,71556.0,79538.0,2.0,0.0,0.0,92.643.084.556,0.0,15.0,4.121.001.247
0,13000,44875.0,57713.0,0.0,1.0,0.0,18.499.032.439,1.0,12.0,28.602.076.071
0,19300,72752.0,106084.0,11.0,0.0,0.0,1.937.070.998,1.0,13.0,30.686.105.631.999.900
0,11500,53651.0,87547.0,18.0,0.0,0.0,19.139.688.748,0.0,16.0,34.368.650.887
0,17200,103519.0,118074.0,0.0,0.0,0.0,1.026.786.125,1.0,21.0,41.418.352.854
0,24200,22763.0,47622.0,23.0,0.0,0.0,12.692.269.121,1.0,10.0,23.040.944.709
0,12600,62493.0,77141.0,13.0,0.0,0.0,26.633.310.144,0.0,26.0,27.007.872.195.999.900
0,12300,90006.0,121122.0,9.0,0.0,0.0,13.349.754.075,1.0,21.0,3.691.048.167
0,35100,88197.0,132776.0,30.0,0.0,0.0,33.304.631.226,0.0,20.0,39.294.720.942
0,12700,61840.0,73541.0,1.0,0.0,0.0,15.789.244.671,2.0,35.0,41.651.691.707
0,20900,71972.0,101745.0,6.0,0.0,0.0,6.732.456.201.699.990,6.0,23.0,38.513.256.182
0,33700,73877.0,124834.0,10.0,0.0,0.0,68.482.694.591,0.0,34.0,25.960.455.093
0,16100,76981.0,106014.0,0.0,0.0,0.0,26.934.262.868,1.0,21.0,39.799.112.283
0,9000,56930.0,67557.0,0.0,0.0,1.0,11.869.951.614,2.0,18.0,36.686.882.044
0,25600,140649.0,212089.0,4.0,0.0,0.0,18.787.142.092,0.0,29.0,40.033.218.625
0,12000,98428.0,114820.0,16.0,0.0,1.0,18.814.820.819,2.0,15.0,36.737.721.285
0,87500,55938.0,86794.0,15.0,0.0,0.0,22.388.103.999.999.900,0.0,16.0,36.753.652.674
0,8400,60995.0,78444.0,4.0,0.0,1.0,1.237.385.166,0.0,23.0,26.932.707.601
0,11100,79226.0,88112.0,10.0,0.0,1.0,17.964.827.359,1.0,12.0,40.670.904.725
0,27800,142356.0,177328.0,6.0,0.0,0.0,31.517.556.745,0.0,35.0,38.595.990.922
0,11500,104610.0,118861.0,18.0,0.0,1.0,20.370.020.243,1.0,16.0,37.596.951.452
0,15700,95128.0,122248.0,10.0,0.0,0.0,17.102.178.171,0.0,27.0,36.332.600.416
0,11100,31999.0,61406.0,31.0,0.0,0.0,23.905.055.657,0.0,19.0,20.961.272.939
0,10100,45493.0,54605.0,21.0,0.0,1.0,23.459.177.844,0.0,18.0,36.594.664.037
0,12500,77792.0,100812.0,10.0,2.0,0.0,1.829.569.956,1.0,29.0,27.385.873.237
0,26800,133594.0,173255.0,8.0,0.0,0.0,21.596.832.799.999.900,1.0,19.0,36.946.997.493.000.000
0,18000,62216.0,85503.0,3.0,0.0,0.0,30.725.070.127,2.0,15.0,41.439.390.666
0,22300,93305.0,143672.0,21.0,0.0,0.0,1.764.166.175,0.0,25.0,40.471.092.138
0,23800,45279.0,68939.0,6.0,0.0,0.0,77.228.821.947,1.0,19.0,355.214.873
0,13300,55505.0,76841.0,0.0,0.0,0.0,22.291.307.236,0.0,10.0,32.968.632.674
0,21800,96709.0,123613.0,3.0,0.0,0.0,21.873.033.314,2.0,27.0,35.874.494.554
0,9000,55367.0,79819.0,5.0,0.0,0.0,10.128.118.497,1.0,15.0,27.189.212.900.999.900
0,22800,52644.0,96376.0,7.0,0.0,0.0,23.838.014.523,0.0,19.0,3.494.670.077
0,24800,64537.0,93212.0,7.0,1.0,1.0,12.035.142.038,4.0,25.0,34.686.088.674.000.000
0,21900,70152.0,188365.0,9.0,0.0,0.0,36.754.149.045,0.0,17.0,32.692.515.336
0,21900,51861.0,68951.0,10.0,0.0,0.0,18.897.861.712,0.0,42.0,38.999.754.155
0,11600,96882.0,118914.0,13.0,0.0,0.0,17.622.191.092,2.0,17.0,34.757.740.199.000.000
0,15300,101311.0,113253.0,0.0,0.0,0.0,14.007.577.118,1.0,21.0,40.667.462.294
0,13300,61414.0,72101.0,12.0,0.0,0.0,26.007.164.985,0.0,27.0,27.286.882.026.999.900
0,28200,76011.0,129352.0,1.0,0.0,0.0,30.280.326.065,0.0,23.0,36.390.473.606
0,18100,32554.0,92419.0,8.0,0.0,0.0,16.490.961.318,1.0,20.0,29.016.609.979.000.000
0,10200,59907.0,71580.0,14.0,0.0,0.0,23.794.813.719,2.0,32.0,36.400.946.661
0,14200,84718.0,103804.0,21.0,0.0,0.0,12.366.357.507,4.0,23.0,30.635.348.147
0,22600,91177.0,112123.0,24.0,0.0,0.0,25.158.240.353,1.0,26.0,42.077.988.376
0,43200,120310.0,178938.0,10.0,0.0,0.0,19.628.157.917,0.0,5.0,40.165.488.129
0,33800,15648.0,43726.0,29.0,0.0,0.0,19.845.117.369,0.0,14.0,42.511.975.049
0,28200,185607.0,227617.0,0.0,0.0,0.0,31.106.275.541,0.0,33.0,42.435.284.999.000.000
0,39700,146341.0,208296.0,5.0,0.0,0.0,1.394.367.339,0.0,31.0,35.459.160.501
0,9300,30204.0,57036.0,30.0,0.0,0.0,23.549.281.298,0.0,19.0,23.137.840.556
0,15300,33113.0,57991.0,4.0,0.0,0.0,12.257.883.629.999.900,1.0,16.0,40.569.888.421
0,11100,35782.0,45550.0,8.0,0.0,0.0,10.928.434.579,0.0,3.0,36.159.805.919
0,23300,65310.0,89959.0,2.0,0.0,0.0,8.979.414.920.200.000,1.0,30.0,33.986.098.814
0,10200,71111.0,80385.0,4.0,1.0,2.0,17.028.188.255,2.0,29.0,3.862.337.208
0,15700,85384.0,101302.0,1.0,0.0,0.0,12.828.624.705,0.0,22.0,41.569.983.536
0,4000,105164.0,112774.0,1.0,0.0,0.0,9.472.487.416.700.000,0.0,13.0,29.390.928.055
0,14700,77565.0,101320.0,6.0,0.0,0.0,12.082.737.185,0.0,26.0,2.527.620.451
0,40700,371003.0,467818.0,1.0,0.0,0.0,31.660.444.181,3.0,14.0,41.723.899.220.999.900
0,9300,39307.0,51680.0,8.0,0.0,0.0,1.960.146.349,0.0,23.0,30.731.571.704
0,21700,62506.0,96588.0,18.0,0.0,1.0,61.513.337.324,0.0,24.0,21.972.675.195
0,17800,54003.0,116434.0,18.0,0.0,0.0,26.871.530.396,0.0,19.0,24.251.971.765
0,15300,88251.0,103063.0,18.0,0.0,0.0,12.756.618.833,3.0,23.0,28.171.777.473.000.000
0,6700,54161.0,59714.0,20.0,0.0,0.0,20.920.630.035,0.0,20.0,20.203.517.707
0,12100,13218.0,82386.0,7.0,0.0,0.0,26.239.425.427,0.0,14.0,18.430.472.375
