Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Suburb,Propertycount,Postcode,zipcode,price,weekly_price,monthly_price
h,1480000.0,2.5,2.0,1.0,1.0,202.0,,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1035000.0,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1465000.0,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,850000.0,2.5,3.0,2.0,1.0,94.0,,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1600000.0,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,941000.0,2.5,2.0,1.0,0.0,181.0,,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1876000.0,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1636000.0,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
u,300000.0,2.5,1.0,1.0,1.0,0.0,,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1097000.0,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
u,700000.0,2.5,2.0,2.0,1.0,0.0,,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1350000.0,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
u,750000.0,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1172500.0,2.5,2.0,1.0,1.0,195.0,,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
u,441000.0,2.5,1.0,1.0,1.0,0.0,,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1310000.0,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1200000.0,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1176500.0,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,955000.0,2.5,3.0,1.0,0.0,183.0,,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,890000.0,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1330000.0,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
t,900000.0,2.5,3.0,2.0,2.0,0.0,,2010.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
u,1090000.0,2.5,3.0,2.0,2.0,4290.0,27.0,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
u,500000.0,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1100000.0,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1315000.0,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
u,426000.0,2.5,1.0,1.0,1.0,0.0,,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1447500.0,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
u,457000.0,2.5,1.0,1.0,1.0,0.0,50.0,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1135000.0,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1542000.0,2.5,4.0,3.0,1.0,0.0,,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1290000.0,2.5,3.0,2.0,2.0,147.0,18.0,,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1290000.0,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
u,470000.0,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1180000.0,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1195000.0,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1012500.0,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
h,1030000.0,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,Abbotsford,4019.0,3067.0,3067.0,100.0,380.0,1440.0
t,840000.0,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,730000.0,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,770000.0,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,603000.0,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
t,700000.0,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,600000.0,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
u,500000.0,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,720000.0,13.5,2.0,1.0,1.0,620.0,,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,785000.0,13.5,3.0,1.0,2.0,597.0,127.0,,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
h,725000.0,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
t,450000.0,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,Airport West,3464.0,3042.0,3042.0,65.0,400.0,1550.0
