suburb,council_area,frequency,frequency_order
abbotsford,yarra,257,1
"abbotsford, melbourne",yarra,1,1
aberfeldie,moonee valley,4,1
airport west,moonee valley,22,1
albanvale,brimbank,1,1
albert park,port phillip,70,1
albert park. melbourne,port phillip,1,1
albion,brimbank,4,1
alphington,darebin,21,1
altona,hobsons bay,32,1
altona meadows,hobsons bay,19,1
altona north,hobsons bay,17,1
armadale,stonnington,67,1
armadale north,stonnington,2,1
ascot vale,moonee valley,80,1
ashburton,boroondara,16,1
ashwood,monash,13,1
aspendale,kingston,18,1
aspendale gardens,kingston,1,1
attwood,hume,1,1
avondale heights,moonee valley,4,1
badger creek,yarra ranges,19,1
balaclava,port phillip,102,1
balwyn,boroondara,57,1
balwyn north,boroondara,41,1
bangholme,greater dandenong,1,1
bayles,cardinia,1,1
bayswater,knox,12,1
bayswater north,maroondah,4,1
beaconsfield,cardinia,3,1
beaconsfield upper,cardinia,3,1
beaumaris,bayside,22,1
belgrave,yarra ranges,19,1
belgrave heights,yarra ranges,6,1
bellfield,banyule,2,1
bentleigh,glen eira,38,1
bentleigh east,glen eira,51,1
berwick,casey,31,1
beveridge,whittlesea,1,1
big pats creek,yarra ranges,1,1
black rock,bayside,20,1
blackburn,whitehorse,39,1
blackburn north,whitehorse,8,1
blackburn south,whitehorse,12,1
bonbeach,kingston,22,1
boronia,knox,21,1
botanic ridge,casey,1,1
box hill,whitehorse,182,1
box hill north,whitehorse,82,1
box hill south,whitehorse,33,1
braybrook,maribyrnong,17,1
briar hill,banyule,1,1
brighton,bayside,122,1
brighton east,bayside,43,1
"brighton east, melbourne",bayside,4,1
brimbank city,brimbank,1,1
brisbane,hume,1,1
broadmeadows,hume,15,1
brookfield,melton,2,1
brooklyn,hobsons bay,2,1
brunswick,moreland,435,1
brunswick / melbourne,moreland,1,1
brunswick east,moreland,171,1
"brunswick east, melbourne",moreland,1,1
brunswick vic 3056,moreland,1,1
brunswick west,moreland,81,1
"brunswick west, melbourne",moreland,1,1
bulla,hume,4,1
bulleen,manningham,21,1
bundoora,whittlesea,36,1
bunyip,cardinia,2,1
burnley,yarra,11,1
burnside,melton,1,1
burnside heights,melton,1,1
burwood,whitehorse,52,1
burwood east,whitehorse,27,1
cairnlea,brimbank,4,1
camberwell,boroondara,86,1
canterbury,boroondara,20,1
cardinia,cardinia,1,1
cardinia shire,cardinia,1,1
carlton,melbourne,531,1
carlton north,yarra,103,1
carlton south,melbourne,1,1
"carlton, melbourne",melbourne,1,1
carnegie,glen eira,83,1
caroline springs,melton,24,1
carrum,kingston,13,1
carrum downs,frankston,5,1
caulfield,glen eira,27,1
caulfield east,glen eira,9,1
caulfield north,glen eira,114,1
caulfield south,glen eira,52,1
chadstone,monash,24,1
chelsea,kingston,19,1
chelsea heights,kingston,4,1
cheltenham,kingston,50,1
chirnside park,yarra ranges,11,1
christmas hills,nillumbik,4,1
chum creek,yarra ranges,13,1
chum creek/healesville,yarra ranges,1,1
city of port phillip,port phillip,1,1
clarinda,kingston,5,1
clayton,monash,108,1
clayton south,kingston,21,1
clematis,cardinia,1,1
clifton hill,yarra,65,1
clyde north,casey,6,1
coburg,moreland,108,1
coburg (melbourne),moreland,1,1
coburg north,moreland,24,1
cockatoo,cardinia,13,1
coldstream,yarra ranges,7,1
collingwood,yarra,295,1
"collingwood, melbourne",yarra,2,1
cora lynn,cardinia,2,1
cottles bridge,nillumbik,2,1
craigieburn,hume,33,1
cranbourne,casey,4,1
cranbourne east,casey,9,1
cranbourne north,casey,12,1
cranbourne south,casey,1,1
cranbourne west,casey,8,1
cremorne,yarra,44,1
croydon,maroondah,13,1
croydon north,maroondah,11,1
croydon south,maroondah,2,1
dallas,hume,1,1
dandenong,greater dandenong,29,1
dandenong north,greater dandenong,9,1
dandenong ranges,yarra ranges,7,1
dandenong south,greater dandenong,2,1
deer park,brimbank,4,1
delahey,brimbank,3,1
derrimut,brimbank,5,1
diamond creek,nillumbik,6,1
diggers rest,hume,5,1
dingley village,kingston,1,1
dixons creek,yarra ranges,10,1
dockland,melbourne,1,1
docklands,melbourne,612,1
don valley,yarra ranges,3,1
doncaster,manningham,132,1
doncaster east,manningham,47,1
doncaster vic 3108,manningham,1,1
doncaster，melbourne,manningham,1,1
donnybrook,whittlesea,1,1
donvale,manningham,8,1
doreen,whittlesea,10,1
doveton,casey,4,1
eaglemont,banyule,6,1
east brunswick,moreland,5,1
east doncaster,manningham,4,1
east melbourne,melbourne,184,1
east st kilda,port phillip,1,1
east st. kilda,port phillip,1,1
east warburton,yarra ranges,6,1
eden park,whittlesea,2,1
edithvale,kingston,14,1
elsternwick,glen eira,71,1
eltham,nillumbik,21,1
eltham north,nillumbik,2,1
elwood,port phillip,325,1
"elwood, melbourne",port phillip,3,1
"elwood, st. kilda",port phillip,3,1
emerald,cardinia,33,1
endeavour hills,casey,11,1
epping,whittlesea,17,1
essendon,moonee valley,50,1
essendon north,moonee valley,3,1
essendon west,moonee valley,2,1
"essendon, victoria, au",moonee valley,1,1
eumemmerring,casey,1,1
eynesbury,melton,4,1
fairfield,darebin,33,1
fawkner,moreland,10,1
ferntree gully,knox,20,1
ferny creek,yarra ranges,11,1
fitzroy,yarra,376,1
fitzroy north,yarra,229,1
"fitzroy, melbourne",yarra,2,1
"fitzroy, victoria, au",yarra,1,1
flemington,moonee valley,63,1
footscray,maribyrnong,166,1
forest hill,whitehorse,16,1
frankston,frankston,66,1
frankston north,frankston,1,1
frankston south,frankston,37,1
gardenvale,glen eira,6,1
garfield north,cardinia,1,1
gembrook,cardinia,15,1
gilderoy,yarra ranges,1,1
gladstone park,hume,6,1
gladysdale,yarra ranges,2,1
glen huntly,glen eira,22,1
glen iris,stonnington,43,1
"glen iris, victoria, au",stonnington,1,1
glen waverley,monash,173,1
glenroy,moreland,37,1
gowanbrae,moreland,6,1
greensborough,banyule,8,1
greenvale,hume,17,1
gruyere,yarra ranges,15,1
guys hill,cardinia,1,1
hadfield,moreland,8,1
hallam,casey,6,1
hampton,bayside,58,1
hampton east,bayside,14,1
hampton park,casey,2,1
harkaway,casey,2,1
hawthorn,boroondara,181,1
hawthorn east,boroondara,82,1
"hawthorn, melbourne",boroondara,2,1
healesville,yarra ranges,151,1
heatherton,kingston,14,1
heathmont,maroondah,4,1
heidelberg,banyule,46,1
heidelberg heights,banyule,21,1
heidelberg west,banyule,13,1
highett,bayside,25,1
hillside,melton,4,1
hoddles creek,yarra ranges,2,1
holmesglen,monash,1,1
hoppers crossing,wyndham,22,1
hughesdale,monash,19,1
humevale,whittlesea,2,1
huntingdale,monash,5,1
hurstbridge,nillumbik,5,1
iona,cardinia,1,1
ivanhoe,banyule,34,1
ivanhoe (melbourne),banyule,1,1
ivanhoe east,banyule,3,1
jacana,hume,5,1
kallista,yarra ranges,12,1
kalorama,yarra ranges,17,1
kangaroo ground,nillumbik,15,1
kealba,brimbank,7,1
keilor,brimbank,4,1
keilor downs,brimbank,7,1
keilor east,moonee valley,13,1
keilor lodge,brimbank,1,1
keilor park,brimbank,6,1
kensington,melbourne,112,1
kew,boroondara,108,1
kew east,boroondara,10,1
"kew east, victoria, au",boroondara,2,1
keysborough,greater dandenong,41,1
kilsyth,maroondah,3,1
kilsyth south,maroondah,3,1
kinglake west,whittlesea,1,1
kings park,brimbank,1,1
kingsbury,darebin,11,1
kingsville,maribyrnong,10,1
knoxfield,knox,9,1
kooyong,stonnington,5,1
